"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071604","GO:0071604","transforming growth factor beta production","5/577","31/9364",0.0392144331390599,0.297249736280608,0.266218755167176,"COL3A1/ITGB6/LAPTM4B/TSKU/TYROBP",5
"GO:0140632","GO:0140632","canonical inflammasome complex assembly","5/577","31/9364",0.0392144331390599,0.297249736280608,0.266218755167176,"CARD8/GBP5/NLRP3/TLR4/ZDHHC12",5
"GO:0050870","GO:0050870","positive regulation of T cell activation","19/577","200/9364",0.0393955777180627,0.298073893175636,0.266956875326346,"ABL1/B2M/CCL19/CCR7/CD74/CSK/EFNB1/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/HSPH1/IL4R/KITLG/MAP3K8/NLRP3/PDCD1LG2/PTPRC",19
"GO:0071396","GO:0071396","cellular response to lipid","32/577","377/9364",0.0398996174083064,0.301333624316677,0.269876311277429,"ABL1/ADCY6/ATM/BCL2L2/CARD8/CD68/CLDN1/CXCL9/CYP1B1/DAB2IP/EDN1/EGFR/GBP5/GJB2/IL36G/IL36RN/IRF8/ITGA2/MMP2/NLRP3/PAF1/PDCD1LG2/PTK6/PTK7/RXRA/SFRP1/SKP2/SLC7A5/SPI1/SPP1/TLR4/TNC",32
"GO:1903038","GO:1903038","negative regulation of leukocyte cell-cell adhesion","11/577","99/9364",0.0406658692111449,0.306476880538925,0.274482644275821,"CD74/DLG5/FGL2/IL20RB/IL4R/JAK3/LAPTM5/LAX1/PDCD1LG2/RC3H1/TMEM131L",11
"GO:0071621","GO:0071621","granulocyte chemotaxis","10/577","87/9364",0.0407295562815336,0.306476880538925,0.274482644275821,"CCL19/CCR7/CD74/CMKLR1/CXCL9/EDN1/FCER1G/PTK2/S100A8/S100A9",10
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","16/577","162/9364",0.041327861585844,0.310411456728712,0.278006475746496,"ABL1/CCL19/CD74/FANCA/FCRL3/FGL2/ID2/IL4R/JAK3/NLRP3/PTPRC/RC3H1/SFRP1/SLAMF8/SPI1/TMEM131L",16
"GO:0006469","GO:0006469","negative regulation of protein kinase activity","13/577","124/9364",0.0415397648367875,0.310555440600904,0.278135428618578,"ABL1/ADAR/CHP1/DAB2IP/GADD45A/GPRC5A/HSPB1/LAX1/PTK6/PTPRC/SFN/TESK1/YWHAG",13
"GO:1901652","GO:1901652","response to peptide","28/577","323/9364",0.0417785649387125,0.310555440600904,0.278135428618578,"ADCY6/APP/BCAR1/BCL2L2/COL3A1/CSK/CYBB/CYP1B1/EDN1/GJA1/GJB2/ICAM1/JAG1/JAK3/LEPROTL1/LGMN/LPIN2/MEAK7/MMP13/MMP2/NAGK/PIK3C2A/PTK2/SHC1/SLC2A1/TLR4/TP53/YWHAG",28
"GO:0007498","GO:0007498","mesoderm development","8/577","64/9364",0.04180794716893,0.310555440600904,0.278135428618578,"FOXC1/GJA1/IKZF1/IRX3/ITGA2/ITGA3/ITGB4/WLS",8
"GO:0002021","GO:0002021","response to dietary excess","3/577","13/9364",0.0418751869614921,0.310555440600904,0.278135428618578,"LIPA/OMA1/PCSK1N",3
"GO:0042249","GO:0042249","establishment of planar polarity of embryonic epithelium","3/577","13/9364",0.0418751869614921,0.310555440600904,0.278135428618578,"CTHRC1/PTK7/SFRP1",3
"GO:0070424","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway","3/577","13/9364",0.0418751869614921,0.310555440600904,0.278135428618578,"BIRC3/NAGK/TLR4",3
"GO:1903978","GO:1903978","regulation of microglial cell activation","3/577","13/9364",0.0418751869614921,0.310555440600904,0.278135428618578,"ATM/LRRK2/PTPRC",3
"GO:0031294","GO:0031294","lymphocyte costimulation","6/577","42/9364",0.0422486075818865,0.311082770674499,0.27860770878781,"CCL19/CCR7/CSK/EFNB1/MAP3K8/PDCD1LG2",6
"GO:0042246","GO:0042246","tissue regeneration","6/577","42/9364",0.0422486075818865,0.311082770674499,0.27860770878781,"CD9/HOPX/KLF5/POSTN/PTGFRN/SOX2",6
"GO:0042475","GO:0042475","odontogenesis of dentin-containing tooth","6/577","42/9364",0.0422486075818865,0.311082770674499,0.27860770878781,"FOXC1/FST/ITGB6/LAMA5/NECTIN1/TNC",6
"GO:0050886","GO:0050886","endocrine process","6/577","42/9364",0.0422486075818865,0.311082770674499,0.27860770878781,"CTSZ/EDN1/F2RL1/GJA1/NIBAN2/SPP1",6
"GO:0006959","GO:0006959","humoral immune response","12/577","112/9364",0.0425580172107879,0.312115176906734,0.279532338378441,"CCR7/CXCL9/HLA-DQB1/IL36RN/KLK7/LYZ/MS4A1/PI3/PTPRC/S100A9/SERPING1/SLPI",12
"GO:0008585","GO:0008585","female gonad development","7/577","53/9364",0.0427257660694815,0.312115176906734,0.279532338378441,"ATM/FANCA/FOXC1/FST/KITLG/MMP2/SFRP1",7
"GO:0046545","GO:0046545","development of primary female sexual characteristics","7/577","53/9364",0.0427257660694815,0.312115176906734,0.279532338378441,"ATM/FANCA/FOXC1/FST/KITLG/MMP2/SFRP1",7
"GO:0007622","GO:0007622","rhythmic behavior","4/577","22/9364",0.0430301517980755,0.312115176906734,0.279532338378441,"CSNK1E/ID2/PTGDS/TP53",4
"GO:0010922","GO:0010922","positive regulation of phosphatase activity","4/577","22/9364",0.0430301517980755,0.312115176906734,0.279532338378441,"FCRL3/PDGFRB/PLEK/PTPRC",4
"GO:0032753","GO:0032753","positive regulation of interleukin-4 production","4/577","22/9364",0.0430301517980755,0.312115176906734,0.279532338378441,"FCER1G/IL20RB/NLRP3/SLC7A5",4
"GO:0050857","GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","4/577","22/9364",0.0430301517980755,0.312115176906734,0.279532338378441,"CCR7/LIPA/PRKCH/PTPRC",4
"GO:0051155","GO:0051155","positive regulation of striated muscle cell differentiation","4/577","22/9364",0.0430301517980755,0.312115176906734,0.279532338378441,"EDN1/HOPX/MORF4L2/NIBAN2",4
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","9/577","76/9364",0.043147117507272,0.312115176906734,0.279532338378441,"ABL1/CLIC4/CTSZ/DLG5/EDN1/ESRP2/LAMA5/TACSTD2/TNC",9
"GO:0072006","GO:0072006","nephron development","9/577","76/9364",0.043147117507272,0.312115176906734,0.279532338378441,"FOXC1/IRX3/ITGA3/JAG1/LAMA5/MTSS1/NOTCH3/PDGFRB/TACSTD2",9
"GO:0030307","GO:0030307","positive regulation of cell growth","11/577","100/9364",0.0432702243632938,0.312456567507574,0.27983808997277,"CD38/CRABP2/EDN1/EGFR/HBEGF/KRT17/LPAR3/S100A8/S100A9/SFN/SFRP1",11
"GO:0016125","GO:0016125","sterol metabolic process","10/577","88/9364",0.0435346467956853,0.313266794075246,0.280563734042124,"APP/CYB5R2/CYP1B1/CYP27A1/EBP/EBPL/LIPA/MVK/SULT2B1/TSKU",10
"GO:1990266","GO:1990266","neutrophil migration","10/577","88/9364",0.0435346467956853,0.313266794075246,0.280563734042124,"CCL19/CCR7/CD74/CXCL9/EDN1/FCER1G/RAC3/S100A8/S100A9/SLAMF8",10
"GO:0001774","GO:0001774","microglial cell activation","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"APP/ATM/LRRK2/PTPRC/TYROBP",5
"GO:0009620","GO:0009620","response to fungus","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"IL36RN/S100A8/S100A9/SPI1/TLR4",5
"GO:0031103","GO:0031103","axon regeneration","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"MMP2/PTPRF/RGMA/SPP1/TNC",5
"GO:0046850","GO:0046850","regulation of bone remodeling","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"CD38/CSK/SFRP1/SPP1/SYT7",5
"GO:0060135","GO:0060135","maternal process involved in female pregnancy","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"CTSB/DSG2/GJB2/ITGA3/SPP1",5
"GO:0060350","GO:0060350","endochondral bone morphogenesis","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"COL3A1/FGFR3/FOXC1/MMP13/TSKU",5
"GO:0141084","GO:0141084","inflammasome-mediated signaling pathway","5/577","32/9364",0.0442119782793044,0.314294477716092,0.281484134049858,"CARD8/GBP5/NLRP3/TLR4/ZDHHC12",5
"GO:0010634","GO:0010634","positive regulation of epithelial cell migration","12/577","113/9364",0.0450754642702731,0.319880363683525,0.286486889064422,"ABL1/ANXA3/BCAR1/DOCK1/EDN1/HBEGF/HSPB1/ITGA2/ITGA3/LGMN/PIK3C2A/PTK2",12
"GO:0048638","GO:0048638","regulation of developmental growth","16/577","164/9364",0.0454105008984353,0.321703307569638,0.288119529207936,"ABL1/APP/CRABP2/CTTN/EDN1/FGFR3/FOXC1/HOPX/LGMN/LPAR3/PLAC8/RGMA/SEMA3F/SEMA4B/SPP1/ULK1",16
"GO:0043408","GO:0043408","regulation of MAPK cascade","34/577","410/9364",0.0462394229218185,0.323806677138456,0.290003320377186,"ABL1/APP/ARHGAP8/ARHGEF5/AVPI1/CCL19/CCR7/CD74/CHI3L1/CSK/DAB2IP/DUSP4/EDN1/EGFR/F2RL1/FCRL3/FGFR3/GADD45A/GBP1/GSDME/ICAM1/LAPTM5/LAX1/LPAR3/LRRK2/PDGFC/PDGFRB/PTPRC/SH3RF2/SHC1/SOX2/SPI1/TGFA/TLR4",34
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","10/577","89/9364",0.0464683083604718,0.323806677138456,0.290003320377186,"ABL1/CTHRC1/IRX3/LAMA5/PTK7/RGMA/SFRP1/SPINT1/SPINT2/TFAP2A",10
"GO:0032623","GO:0032623","interleukin-2 production","7/577","54/9364",0.0465970530326048,0.323806677138456,0.290003320377186,"ABL1/GBP1/HOMER2/HOMER3/IL20RB/LAPTM5/PTPRC",7
"GO:0032663","GO:0032663","regulation of interleukin-2 production","7/577","54/9364",0.0465970530326048,0.323806677138456,0.290003320377186,"ABL1/GBP1/HOMER2/HOMER3/IL20RB/LAPTM5/PTPRC",7
"GO:0043299","GO:0043299","leukocyte degranulation","7/577","54/9364",0.0465970530326048,0.323806677138456,0.290003320377186,"ANXA3/CD84/F2RL1/IL4R/PTGDS/SNAP23/SPI1",7
"GO:0048708","GO:0048708","astrocyte differentiation","7/577","54/9364",0.0465970530326048,0.323806677138456,0.290003320377186,"ABL1/APP/ID2/S100A8/S100A9/TLR4/ZEB2",7
"GO:0150076","GO:0150076","neuroinflammatory response","7/577","54/9364",0.0465970530326048,0.323806677138456,0.290003320377186,"APP/ATM/BPGM/LRRK2/PTPRC/TYROBP/ZEB2",7
"GO:0002763","GO:0002763","positive regulation of myeloid leukocyte differentiation","6/577","43/9364",0.0466514478967698,0.323806677138456,0.290003320377186,"CD74/EVI2B/ID2/KITLG/KLF10/TYROBP",6
"GO:0030865","GO:0030865","cortical cytoskeleton organization","6/577","43/9364",0.0466514478967698,0.323806677138456,0.290003320377186,"ANLN/EPB41L3/LCP1/PLEC/PLEK/RAC3",6
"GO:0031529","GO:0031529","ruffle organization","6/577","43/9364",0.0466514478967698,0.323806677138456,0.290003320377186,"CCR7/EPS8L1/ICAM1/PLEK/SNX10/TACSTD2",6
"GO:0045058","GO:0045058","T cell selection","6/577","43/9364",0.0466514478967698,0.323806677138456,0.290003320377186,"CCR7/CD3D/CD74/LY9/PTPRC/THEMIS",6
"GO:0045453","GO:0045453","bone resorption","6/577","43/9364",0.0466514478967698,0.323806677138456,0.290003320377186,"CD38/CSK/RAB3D/SNX10/SPP1/TPP1",6
"GO:0010975","GO:0010975","regulation of neuron projection development","23/577","258/9364",0.047051623324956,0.325918683263593,0.291894846501228,"ABL1/ACAP3/ADCY6/B2M/CD38/CRABP2/DAB2IP/EHD1/ITGA3/ITGA6/LPAR3/LRRK2/PTK6/PTK7/PTPRF/RGMA/S100A9/SEMA3F/SEMA4B/SFRP1/SPP1/TSKU/ULK1",23
"GO:0044057","GO:0044057","regulation of system process","21/577","231/9364",0.0471140953697371,0.325918683263593,0.291894846501228,"ABL1/APP/CD38/CELF2/CTTN/DSC2/DSG2/DSP/EDN1/F2RL1/GJA1/GJC1/HBEGF/HOPX/IRX3/ITGA2/JUP/LMNA/LRRK2/MMP2/SPP1",21
"GO:0010632","GO:0010632","regulation of epithelial cell migration","16/577","165/9364",0.0475557866881867,0.328422177866739,0.294136992197156,"ABL1/ANXA3/BCAR1/DAB2IP/DOCK1/EDN1/GADD45A/HBEGF/HSPB1/ITGA2/ITGA3/JUP/LGMN/PIK3C2A/PTK2/TACSTD2",16
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","20/577","218/9364",0.0478863459577004,0.330151088713391,0.295685415752211,"ABL1/ACTG1/ARHGEF5/CCR7/CDC42EP1/CTTN/EDN1/F2RL1/GPR65/MTSS1/PDGFRB/PLEK/PPFIA1/RAC3/S100A10/SFRP1/TACSTD2/TESK1/TJP1/TMOD3",20
"GO:0002292","GO:0002292","T cell differentiation involved in immune response","8/577","66/9364",0.048810366473272,0.332184282299264,0.297506356864616,"CCL19/FCER1G/FGL2/IL4R/JAK3/LY9/NLRP3/RC3H1",8
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","18/577","192/9364",0.0491278631737614,0.332184282299264,0.297506356864616,"ALPK1/BIRC3/CARD8/CTSS/DAB2IP/F2RL1/FCRL3/FOSL1/GBP5/NAGK/NLRP3/PIK3AP1/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",18
"GO:0002221","GO:0002221","pattern recognition receptor signaling pathway","17/577","179/9364",0.0495423428470723,0.332184282299264,0.297506356864616,"ALPK1/BIRC3/CARD8/CTSS/DAB2IP/F2RL1/FCRL3/FOSL1/GBP5/NAGK/NLRP3/PIK3AP1/TLR4/TLR8/UNC93B1/WDFY1/ZDHHC12",17
"GO:0031669","GO:0031669","cellular response to nutrient levels","17/577","179/9364",0.0495423428470723,0.332184282299264,0.297506356864616,"ATG7/CD68/DSC2/KLF10/LRRK2/POSTN/RXRA/SFRP1/SLC2A1/SLC39A4/SLC7A5/TNC/TP53/UCN2/ULK1/UPP1/YWHAG",17
"GO:0002347","GO:0002347","response to tumor cell","5/577","33/9364",0.0495733762865964,0.332184282299264,0.297506356864616,"GSDME/LAPTM5/PVR/SPI1/TXNIP",5
"GO:0036230","GO:0036230","granulocyte activation","5/577","33/9364",0.0495733762865964,0.332184282299264,0.297506356864616,"ANXA3/F2RL1/FCER1G/SPI1/TYROBP",5
"GO:0045622","GO:0045622","regulation of T-helper cell differentiation","5/577","33/9364",0.0495733762865964,0.332184282299264,0.297506356864616,"CCL19/IL4R/JAK3/NLRP3/RC3H1",5
"GO:0045682","GO:0045682","regulation of epidermis development","5/577","33/9364",0.0495733762865964,0.332184282299264,0.297506356864616,"CD109/FOXC1/PRKCH/SFN/SULT2B1",5
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","9/577","78/9364",0.049631896394668,0.332184282299264,0.297506356864616,"APP/CCL19/CD84/CYBB/HSPB1/LRRK2/PTPRC/TLR4/TYROBP",9
"GO:0001523","GO:0001523","retinoid metabolic process","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"CRABP2/CYP1B1/LIPA/SCPEP1",4
"GO:0019229","GO:0019229","regulation of vasoconstriction","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"ABL1/CD38/EDN1/MMP2",4
"GO:0033280","GO:0033280","response to vitamin D","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"RXRA/SFRP1/SPP1/TNC",4
"GO:0035094","GO:0035094","response to nicotine","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"B2M/EDN1/KCNK1/MMP2",4
"GO:0043403","GO:0043403","skeletal muscle tissue regeneration","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"CD9/HOPX/KLF5/PTGFRN",4
"GO:0045671","GO:0045671","negative regulation of osteoclast differentiation","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"FSTL3/PIAS3/SFRP1/TLR4",4
"GO:0050832","GO:0050832","defense response to fungus","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"IL36RN/S100A8/S100A9/SPI1",4
"GO:0051385","GO:0051385","response to mineralocorticoid","4/577","23/9364",0.0496423235205973,0.332184282299264,0.297506356864616,"CYBB/EDN1/FOSL1/PTPRC",4
"GO:0051302","GO:0051302","regulation of cell division","12/577","115/9364",0.050415299312278,0.332184282299264,0.297506356864616,"BIRC5/EVI2B/GIPC1/KIF13A/KIF20A/KIF23/KLHL21/PDGFC/PRC1/SFN/TGFA/TXNIP",12
"GO:0030510","GO:0030510","regulation of BMP signaling pathway","7/577","55/9364",0.0506856061008012,0.332184282299264,0.297506356864616,"ABL1/FST/FSTL3/HTRA1/ITGA3/RGMA/SFRP1",7
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","29/577","343/9364",0.05080118442323,0.332184282299264,0.297506356864616,"ABL1/ACTG1/APP/CRABP2/CTTN/DAB2IP/EDN1/EFNA3/EFNB1/EMB/ENAH/EPB41L3/LPAR3/LRRK2/NECTIN1/NIBAN2/NOTCH3/POSTN/PTK2/PTK7/RAC3/RGMA/S100A6/SEMA3F/SEMA4B/SPP1/TSKU/TUBB3/ULK1",29
"GO:0001768","GO:0001768","establishment of T cell polarity","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"ABL1/CCL19/CCR7",3
"GO:0003401","GO:0003401","axis elongation","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"PTK7/SFRP1/TNC",3
"GO:0007617","GO:0007617","mating behavior","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"APP/PI3/UBE2Q1",3
"GO:0032288","GO:0032288","myelin assembly","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"CD9/EPB41L3/ITGB4",3
"GO:0035115","GO:0035115","embryonic forelimb morphogenesis","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"CRABP2/HOXD9/TFAP2A",3
"GO:0043171","GO:0043171","peptide catabolic process","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"ERAP1/MME/TPP1",3
"GO:0045623","GO:0045623","negative regulation of T-helper cell differentiation","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"IL4R/JAK3/RC3H1",3
"GO:0046851","GO:0046851","negative regulation of bone remodeling","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"CD38/CSK/SFRP1",3
"GO:0055093","GO:0055093","response to hyperoxia","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"ATG7/MMP2/SLC7A5",3
"GO:0061298","GO:0061298","retina vasculature development in camera-type eye","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"CLIC4/CYP1B1/PDGFRB",3
"GO:0061484","GO:0061484","hematopoietic stem cell homeostasis","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"ADAR/ADGRG1/ARHGEF5",3
"GO:0071305","GO:0071305","cellular response to vitamin D","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"RXRA/SFRP1/TNC",3
"GO:0071379","GO:0071379","cellular response to prostaglandin stimulus","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"ADCY6/SFRP1/TNC",3
"GO:2000810","GO:2000810","regulation of bicellular tight junction assembly","3/577","14/9364",0.0509252386129338,0.332184282299264,0.297506356864616,"CLDN1/PRKCH/TJP1",3
"GO:0002820","GO:0002820","negative regulation of adaptive immune response","6/577","44/9364",0.0513284044817163,0.333229830988555,0.298442756923411,"IL20RB/IL4R/JAK3/PTPRC/RC3H1/SAMSN1",6
"GO:0007586","GO:0007586","digestion","6/577","44/9364",0.0513284044817163,0.333229830988555,0.298442756923411,"LIPA/SERPINA3/SLC5A1/SNX10/TLR4/UCN2",6
"GO:0051057","GO:0051057","positive regulation of small GTPase mediated signal transduction","6/577","44/9364",0.0513284044817163,0.333229830988555,0.298442756923411,"ADGRG1/COL3A1/F2RL1/GPR174/GPR65/KITLG",6
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","22/577","247/9364",0.0516864840355075,0.33502609179551,0.30005149953145,"ABL1/B2M/CCL19/CCR7/CD74/CSK/EFNB1/FSTL3/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/HSPH1/IL4R/KITLG/MAP3K8/NLRP3/PDCD1LG2/PTPRC/SOX2/TJP1",22
"GO:0070482","GO:0070482","response to oxygen levels","20/577","220/9364",0.05177489521338,0.33507149166395,0.300092159942497,"AJUBA/ATG7/ATM/ATP6AP1/CD38/CHCHD2/CYBB/EDN1/HSPG2/ITGA2/LMNA/MMP2/NDRG1/POSTN/SFRP1/SLC2A1/SLC7A5/SOX2/TP53/ZEB2",20
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","15/577","154/9364",0.0521601345044928,0.3370347152598,0.30185043548663,"ABL1/CARD8/CD68/CXCL9/DAB2IP/GBP5/IL36G/IL36RN/IRF8/NLRP3/PAF1/PDCD1LG2/SLC7A5/SPI1/TLR4",15
"GO:0033077","GO:0033077","T cell differentiation in thymus","8/577","67/9364",0.0525806722828197,0.338688649633937,0.303331709635836,"ABL1/B2M/CCR7/CD3D/CD74/PTPRC/TMEM131L/TP53",8
"GO:0051384","GO:0051384","response to glucocorticoid","8/577","67/9364",0.0525806722828197,0.338688649633937,0.303331709635836,"ANXA3/CLDN1/CYP1B1/EDN1/FOSL1/GJB2/PTGDS/SDC1",8
"GO:0042692","GO:0042692","muscle cell differentiation","20/577","221/9364",0.053801216958397,0.346009076563691,0.309887930572872,"ACTG1/CD9/CXCL9/DOCK1/EDN1/EHD1/HOPX/ID2/IL4R/IRX3/KLF5/LMNA/MORF4L2/NFATC2/NIBAN2/PDGFRB/PLEC/PTGFRN/SDC1/TMOD3",20
"GO:0048858","GO:0048858","cell projection morphogenesis","29/577","345/9364",0.0539981774992499,0.34673400715587,0.31053718302385,"ABL1/ACTG1/APP/CRABP2/CTTN/DAB2IP/EDN1/EFNA3/EFNB1/EMB/ENAH/EPB41L3/LPAR3/LRRK2/NECTIN1/NIBAN2/NOTCH3/POSTN/PTK2/PTK7/RAC3/RGMA/S100A6/SEMA3F/SEMA4B/SPP1/TSKU/TUBB3/ULK1",29
"GO:0061458","GO:0061458","reproductive system development","15/577","155/9364",0.0546298739796319,0.348036661610798,0.311703848642273,"ADGRG1/ATM/ATN1/BCL2L2/CYP1B1/FANCA/FOXC1/FST/KITLG/MMP2/PSAP/SDC1/SFRP1/TNC/UBE2Q1",15
"GO:0043122","GO:0043122","regulation of canonical NF-kappaB signal transduction","19/577","208/9364",0.0547497356296293,0.348036661610798,0.311703848642273,"ABL1/AJUBA/ALPK1/APOL3/BIRC3/CARD8/CCL19/CCR7/CD74/DAB2IP/F2RL1/GJA1/HSPB1/OPTN/PLEKHG5/TLR4/TRIM22/UBD/WLS",19
"GO:0099173","GO:0099173","postsynapse organization","11/577","104/9364",0.0548301200619405,0.348036661610798,0.311703848642273,"ACTG1/CTTN/DLG5/ITGA3/LAMA5/LGMN/LRRK2/RAC3/SEMA3F/SRGN/ZDHHC12",11
"GO:1902075","GO:1902075","cellular response to salt","11/577","104/9364",0.0548301200619405,0.348036661610798,0.311703848642273,"B2M/CLDN1/CLIC4/EDN1/LGMN/MAPK13/NFATC2/P2RY2/PLEC/SLURP2/SYT7",11
"GO:0001508","GO:0001508","action potential","7/577","56/9364",0.0549937971852758,0.348036661610798,0.311703848642273,"DSC2/DSG2/DSP/GJA1/GJC1/JUP/SLMAP",7
"GO:1901657","GO:1901657","glycosyl compound metabolic process","7/577","56/9364",0.0549937971852758,0.348036661610798,0.311703848642273,"ADK/APOBEC3F/DERA/FUCA1/LCMT2/NAGA/UPP1",7
"GO:0002269","GO:0002269","leukocyte activation involved in inflammatory response","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"APP/ATM/LRRK2/PTPRC/TYROBP",5
"GO:0022029","GO:0022029","telencephalon cell migration","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"ADGRG1/COL3A1/DAB2IP/EGFR/LRRK2",5
"GO:0042310","GO:0042310","vasoconstriction","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"ABL1/CD38/EDN1/MMP2/PIK3C2A",5
"GO:0043368","GO:0043368","positive T cell selection","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"CD3D/CD74/LY9/PTPRC/THEMIS",5
"GO:0043616","GO:0043616","keratinocyte proliferation","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"CD109/FST/IRF6/SFN/TGM1",5
"GO:0050771","GO:0050771","negative regulation of axonogenesis","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"RGMA/SEMA3F/SEMA4B/SPP1/ULK1",5
"GO:1903018","GO:1903018","regulation of glycoprotein metabolic process","5/577","34/9364",0.0553002858827653,0.348036661610798,0.311703848642273,"CCL19/CCR7/CHP1/HBEGF/JAK3",5
"GO:0006897","GO:0006897","endocytosis","39/577","488/9364",0.055484266228546,0.348661434804115,0.312263399489543,"ABL1/ACTG1/ANXA3/APP/B2M/CCDC32/CCL19/CD63/CD9/CDC42SE2/CSK/CSNK1E/CTTN/CYTH2/DOCK1/EHBP1/EHD1/F2RL1/FCER1G/FNBP1/HSPG2/IRF8/ITGA2/LIPA/LRRK2/M6PR/PDLIM7/PIK3C2A/PTK2/PTPRC/RAC3/RHOV/SDC1/SNX10/SYNJ2/SYT7/TLR4/TYROBP/ZFYVE9",39
"GO:0060537","GO:0060537","muscle tissue development","20/577","222/9364",0.0558830767316046,0.350020799064639,0.313480854770694,"ABL1/COL3A1/DSG2/DSP/EDN1/FLNB/FOXC1/GJA1/GJC1/HOPX/HOXD9/ID2/IRX3/KLF5/LMNA/NIBAN2/PDGFRB/PLEC/PPP1R13L/VAMP5",20
"GO:0008406","GO:0008406","gonad development","12/577","117/9364",0.0561710638761087,0.350020799064639,0.313480854770694,"ADGRG1/ATM/ATN1/BCL2L2/CYP1B1/FANCA/FOXC1/FST/KITLG/MMP2/SDC1/SFRP1",12
"GO:0045137","GO:0045137","development of primary sexual characteristics","12/577","117/9364",0.0561710638761087,0.350020799064639,0.313480854770694,"ADGRG1/ATM/ATN1/BCL2L2/CYP1B1/FANCA/FOXC1/FST/KITLG/MMP2/SDC1/SFRP1",12
"GO:0034103","GO:0034103","regulation of tissue remodeling","6/577","45/9364",0.0562816962697504,0.350020799064639,0.313480854770694,"CD38/CSK/SFRP1/SPP1/SYT7/TP53",6
"GO:0048010","GO:0048010","vascular endothelial growth factor receptor signaling pathway","6/577","45/9364",0.0562816962697504,0.350020799064639,0.313480854770694,"BCAR1/DAB2IP/FOXC1/HSPB1/NIBAN2/PTK2",6
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","6/577","45/9364",0.0562816962697504,0.350020799064639,0.313480854770694,"ADGRG1/ID2/LRRK2/SPINT1/SPINT2/TP53",6
"GO:0110053","GO:0110053","regulation of actin filament organization","17/577","182/9364",0.0563086334036107,0.350020799064639,0.313480854770694,"ABL1/ACTG1/ARHGEF5/CCR7/CDC42EP1/CTTN/F2RL1/GPR65/MTSS1/PLEK/PPFIA1/S100A10/SFRP1/TACSTD2/TESK1/TJP1/TMOD3",17
"GO:0072073","GO:0072073","kidney epithelium development","8/577","68/9364",0.0565331737171248,0.350020799064639,0.313480854770694,"FOXC1/IRX3/JAG1/LAMA5/MTSS1/SDC1/SFRP1/TACSTD2",8
